name,mass,mass upper error,mass lower error,radius,radius upper error,radius lower error,source
PSR J0030+0451,1.34,0.15,0.16,12.71,1.14,1.19,Riley et al. (2019)
PSR J0740+6620,2.08,0.07,0.07,13.7,2.6,1.5,Miller at al. (2021)
GW170817 M1,1.46,0.12,0.1,10.8,2,1.7,Abbott et al. (2018)
GW170817 M2,1.27,0.09,0.09,10.7,2.1,1.5,Abbott et al. (2018)
